Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
IWM260311C00180000,3/6/2026  1:09 PM,180,71.32,71.51,75.26,0.00,0.00%,2,0,239.06%
IWM260311C00190000,3/6/2026  9:43 AM,190,60.97,61.52,65.27,0.00,0.00%,1,1,210.94%
IWM260311C00200000,3/6/2026  1:09 PM,200,51.32,51.52,55.27,0.00,0.00%,3,4,176.56%
IWM260311C00205000,3/5/2026  3:35 PM,205,51.73,46.52,50.27,0.00,0.00%,-,1,160.16%
IWM260311C00210000,3/9/2026  1:19 PM,210,38.63,41.52,45.27,0.00,0.00%,1,1,143.75%
IWM260311C00215000,3/10/2026  4:14 PM,215,38.45,36.52,40.27,-0.05,-0.13%,8,6,127.34%
IWM260311C00220000,3/10/2026  11:55 AM,220,36.18,31.52,35.27,7.52,26.24%,5,9,111.33%
IWM260311C00222500,3/10/2026  11:42 AM,222.5,34.09,29.02,32.77,-3.61,-9.58%,1,1,103.13%
IWM260311C00225000,3/10/2026  1:32 PM,225,32.43,26.52,30.27,-1.17,-3.48%,1,2,95.31%
IWM260311C00227500,3/6/2026  2:54 PM,227.5,24.55,24.32,27.78,0.00,0.00%,3,2,112.70%
IWM260311C00230000,3/9/2026  1:35 PM,230,18.46,21.53,25.28,0.00,0.00%,6,5,82.42%
IWM260311C00232500,3/10/2026  3:16 PM,232.5,21.58,19.04,22.79,3.17,17.22%,2,1,76.56%
IWM260311C00235000,3/10/2026  3:27 PM,235,18.60,16.55,20.31,-0.65,-3.38%,2,6,70.70%
IWM260311C00236000,3/6/2026  1:40 PM,236,16.13,15.55,19.30,0.00,0.00%,6,5,66.41%
IWM260311C00237000,3/9/2026  3:28 PM,237,16.72,14.56,18.31,0.00,0.00%,2,3,64.45%
IWM260311C00238000,3/10/2026  12:10 PM,238,16.19,13.57,17.32,5.30,48.67%,42,9,62.31%
IWM260311C00239000,3/10/2026  12:10 PM,239,16.87,12.58,16.33,2.00,13.45%,43,7,59.96%
IWM260311C00240000,3/10/2026  3:43 PM,240,13.91,11.60,15.35,0.02,0.14%,143,15,58.40%
IWM260311C00241000,3/10/2026  3:43 PM,241,12.92,10.63,14.38,-0.05,-0.39%,34,13,57.23%
IWM260311C00242000,3/10/2026  3:55 PM,242,11.21,9.66,13.41,-0.83,-6.89%,222,52,55.47%
IWM260311C00242500,3/10/2026  3:55 PM,242.5,10.72,9.18,12.93,2.82,35.70%,213,41,54.79%
IWM260311C00243000,3/10/2026  1:40 PM,243,13.08,8.72,12.45,1.57,13.64%,5,185,54.49%
IWM260311C00244000,3/10/2026  3:40 PM,244,10.20,7.75,10.15,-0.08,-0.78%,12,114,72.27%
IWM260311C00245000,3/10/2026  2:37 PM,245,9.95,6.82,10.58,0.70,7.57%,35,440,51.37%
IWM260311C00246000,3/10/2026  1:33 PM,246,11.57,6.06,9.67,3.27,39.40%,11,190,52.78%
IWM260311C00247000,3/10/2026  3:44 PM,247,7.27,5.02,8.79,-0.12,-1.62%,63,377,95.26%
IWM260311C00248000,3/10/2026  3:51 PM,248,5.80,5.97,7.94,-1.13,-16.31%,148,423,70.12%
IWM260311C00249000,3/10/2026  3:49 PM,249,5.16,4.83,5.57,-0.97,-15.82%,77,327,54.93%
IWM260311C00250000,3/10/2026  4:14 PM,250,4.46,4.37,4.51,-0.87,-16.32%,519,858,47.12%
IWM260311C00251000,3/10/2026  4:11 PM,251,3.53,3.34,4.07,-0.59,-14.32%,640,271,51.83%
IWM260311C00252000,3/10/2026  4:14 PM,252,3.01,2.74,3.31,-0.48,-13.75%,870,346,48.78%
IWM260311C00253000,3/10/2026  4:14 PM,253,2.38,2.34,2.43,-0.52,-17.93%,4018,1310,42.48%
IWM260311C00254000,3/10/2026  4:14 PM,254,1.79,1.79,1.87,-0.56,-23.83%,5968,1025,41.07%
IWM260311C00255000,3/10/2026  4:14 PM,255,1.29,1.31,1.38,-0.59,-31.38%,9399,3020,39.55%
IWM260311C00256000,3/10/2026  4:14 PM,256,0.94,0.90,0.95,-0.49,-34.27%,13308,1509,37.60%
IWM260311C00257000,3/10/2026  4:14 PM,257,0.63,0.59,0.65,-0.49,-43.75%,15464,1779,36.67%
IWM260311C00258000,3/10/2026  4:14 PM,258,0.39,0.38,0.42,-0.53,-57.61%,12707,689,35.69%
IWM260311C00259000,3/10/2026  4:14 PM,259,0.23,0.23,0.24,-0.35,-60.34%,13824,2319,34.13%
IWM260311C00260000,3/10/2026  4:14 PM,260,0.14,0.13,0.14,-0.27,-65.85%,14569,1389,33.50%
IWM260311C00261000,3/10/2026  4:14 PM,261,0.08,0.07,0.08,-0.23,-74.19%,6353,1522,33.20%
IWM260311C00262000,3/10/2026  4:14 PM,262,0.04,0.03,0.05,-0.15,-78.95%,2866,1393,33.59%
IWM260311C00263000,3/10/2026  4:14 PM,263,0.02,0.02,0.03,-0.13,-86.67%,9827,2507,33.99%
IWM260311C00264000,3/10/2026  4:14 PM,264,0.01,0.01,0.03,-0.08,-88.89%,529,1047,37.11%
IWM260311C00265000,3/10/2026  4:00 PM,265,0.01,0.01,0.02,-0.06,-85.71%,569,595,37.50%
IWM260311C00266000,3/10/2026  3:31 PM,266,0.01,0.00,0.02,-0.04,-80.00%,130,713,40.63%
IWM260311C00267000,3/10/2026  4:01 PM,267,0.01,0.00,0.01,-0.06,-85.71%,289,370,39.84%
IWM260311C00268000,3/10/2026  3:42 PM,268,0.01,0.00,0.01,-0.02,-66.67%,84,1312,42.19%
IWM260311C00269000,3/10/2026  2:32 PM,269,0.01,0.00,0.01,-0.02,-66.67%,4,848,44.53%
IWM260311C00270000,3/10/2026  2:54 PM,270,0.02,0.00,0.01,0.00,0.00%,27,865,46.88%
IWM260311C00271000,3/10/2026  3:47 PM,271,0.01,0.00,0.01,0.00,0.00%,83,217,50.00%
IWM260311C00272000,3/10/2026  11:36 AM,272,0.02,0.00,0.01,0.01,100.00%,2,845,51.56%
IWM260311C00273000,3/10/2026  3:14 PM,273,0.01,0.00,0.01,-0.03,-75.00%,5,449,50.00%
IWM260311C00274000,3/10/2026  11:12 AM,274,0.01,0.00,0.01,0.00,0.00%,2,449,53.13%
IWM260311C00275000,3/9/2026  9:40 AM,275,0.01,0.00,0.01,0.00,0.00%,1,649,54.69%
IWM260311C00276000,3/9/2026  10:49 AM,276,0.01,0.00,0.01,0.00,0.00%,2,66,56.25%
IWM260311C00277000,3/9/2026  9:39 AM,277,0.01,0.00,0.01,0.00,0.00%,7,39,59.38%
IWM260311C00278000,3/4/2026  1:30 PM,278,0.02,0.00,0.01,0.00,0.00%,8,8,62.50%
IWM260311C00279000,3/4/2026  11:39 AM,279,0.03,0.00,0.01,0.00,0.00%,-,1,62.50%
IWM260311C00280000,3/5/2026  9:30 AM,280,0.01,0.00,0.01,0.00,0.00%,-,15,65.63%
IWM260311C00282000,3/4/2026  1:36 PM,282,0.02,0.00,0.01,0.00,0.00%,-,40,70.31%
IWM260311C00283000,3/3/2026  1:17 PM,283,0.03,0.00,0.01,0.00,0.00%,-,10,71.88%
IWM260311C00285000,3/4/2026  11:15 AM,285,0.01,0.00,0.01,0.00,0.00%,-,30,75.00%
IWM260311C00300000,3/9/2026  3:32 PM,300,0.02,0.00,0.01,0.00,0.00%,4,4,106.25%
